"slug","label","pattern","strip","is_electrical_brand","is_digital_brand"
"john_lewis","John Lewis","\bjohn\s?lewis\b",TRUE,FALSE,FALSE
"ikea","IKEA","\bikea\b",TRUE,FALSE,FALSE
"m_and_s","Marks & Spencer","\bm\s?(?:&|and)\s?s\b|\bmarks\s?(?:&|and)\s?spencer(?:'?s)?\b",TRUE,FALSE,FALSE
"mamas_and_papas","Mamas & Papas","\bmamas\s?(?:&|and)\s?papas\b",TRUE,FALSE,FALSE
"black_and_decker","Black & Decker","\bblack\s?(?:&|and)\s?decker\b",TRUE,TRUE,FALSE
"silver_cross","Silver Cross","\bsilver\s?cross\b",TRUE,FALSE,FALSE
"fisher_price","Fisher-Price","\bfisher[\s-]?price\b",TRUE,FALSE,FALSE
"rug_doctor","Rug Doctor","\brug\s?doctor\b",TRUE,TRUE,FALSE
"bosch","Bosch","\bbosch\b",TRUE,TRUE,FALSE
"dyson","Dyson","\bdyson\b",TRUE,TRUE,FALSE
"lego","LEGO","\blego\b",TRUE,FALSE,FALSE
"apple","Apple","\bapple\b",TRUE,TRUE,TRUE
"samsung","Samsung","\bsamsung\b",TRUE,TRUE,TRUE
"sony","Sony","\bsony\b",TRUE,TRUE,TRUE
"makita","Makita","\bmakita\b",TRUE,TRUE,FALSE
"delonghi","De'Longhi","\bde\s?'?longhi\b",TRUE,TRUE,FALSE
"philips","Philips","\bphill?ips\b",TRUE,TRUE,FALSE
"karcher","Karcher","\bkarcher\b",TRUE,TRUE,FALSE
"kenwood","Kenwood","\bkenwood\b",TRUE,TRUE,FALSE
"morphy_richards","Morphy Richards","\bmorphy\s?richards\b",TRUE,TRUE,FALSE
"russell_hobbs","Russell Hobbs","\brussell\s?hobbs\b",TRUE,TRUE,FALSE
"dewalt","DeWalt","\bdewalt\b",TRUE,TRUE,FALSE
"vtech","VTech","\bvtech\b",TRUE,TRUE,TRUE
"graco","Graco","\bgraco\b",TRUE,FALSE,FALSE
"epson","Epson","\bepson\b",TRUE,TRUE,TRUE
"beko","Beko","\bbeko\b",TRUE,TRUE,FALSE
"flymo","Flymo","\bflymo\b",TRUE,TRUE,FALSE
"hp","HP","\bhp\b",TRUE,TRUE,TRUE
"george_foreman","George Foreman","\bgeorge\s?fore?man\b",TRUE,TRUE,FALSE
"swan","Swan","\bswan\b",TRUE,TRUE,FALSE
"smeg","SMEG","\bsmeg\b",TRUE,TRUE,FALSE
"maxi_cosi","Maxi Cosi","\bmaxi[\s,-]?cosi\b",TRUE,FALSE,FALSE
"dell","Dell","\bdell\b",TRUE,TRUE,TRUE
"lenovo","Lenovo","\blenovo\b",TRUE,TRUE,TRUE
"nintendo","Nintendo","\bnintendo\b",TRUE,TRUE,TRUE
"toshiba","Toshiba","\btoshiba\b",TRUE,TRUE,TRUE
"android","Android","\bandroid\b",TRUE,TRUE,TRUE
"blueberry","Blueberry","\bblueberry\b",TRUE,FALSE,FALSE
"amazon","Amazon","\bamazon\b",TRUE,TRUE,TRUE
"lg","LG","\blg\b",TRUE,TRUE,TRUE
"acer","Acer","\bacer\b",TRUE,TRUE,TRUE
"huawei","Huawei","\bhuawei\b",TRUE,TRUE,TRUE
"microsoft","Microsoft","\bmicrosoft\b",TRUE,TRUE,TRUE
"panasonic","Panasonic","\bpanasonic\b",TRUE,TRUE,TRUE
"canon","Canon","\bcanon\b",TRUE,TRUE,TRUE
"halfords","Halfords","\bhalfords\b",TRUE,FALSE,FALSE
"jvc","JVC","\bjvc\b",TRUE,TRUE,TRUE
"argos","Argos","\bargos\b",TRUE,FALSE,FALSE
"gopro","GoPro","\bgo\s?pro\b",TRUE,TRUE,TRUE
"wilko","Wilko","\bwilkos?\b",TRUE,FALSE,FALSE
"braun","Braun","\bbraun\b",TRUE,TRUE,FALSE
"tefal","Tefal","\btefal\b",TRUE,TRUE,FALSE
"breville","Breville","\bbreville\b",TRUE,TRUE,FALSE
"ninja","Ninja","\bninja\b",TRUE,TRUE,FALSE
"shark","Shark","\bshark\b",TRUE,TRUE,FALSE
"vax","Vax","\bvax\b",TRUE,TRUE,FALSE
"miele","Miele","\bmiele\b",TRUE,TRUE,FALSE
"zanussi","Zanussi","\bzanussi\b",TRUE,TRUE,FALSE
"hotpoint","Hotpoint","\bhotpoint\b",TRUE,TRUE,FALSE
