"pattern","is_digital"
"laptop",TRUE
"\bcomputer\b",TRUE
"\bpc\b",TRUE
"\bdesktop\b",TRUE
"chromebook",TRUE
"\btablet\b",TRUE
"\bphone\b(?!\s*(?:number|no\.?))",TRUE
"smartphone",TRUE
"television(?!\s*(?:unit|stand|cabinet|table|bench))",TRUE
"\btv\b(?!\s*(?:unit|stand|cabinet|table|bench))",TRUE
"\bmonitor\b",TRUE
"\bcamera\b",TRUE
"camcorder",TRUE
"\bconsole\b(?!\s*table)",TRUE
"playstation",TRUE
"\bxbox\b",TRUE
"\brouter\b",TRUE
"\bmodem\b",TRUE
"\bprinter\b",TRUE
"\bscanner\b",TRUE
"\bdrone\b",TRUE
"sat\s?nav",TRUE
"hard\s?drive",TRUE
"\bssd\b",TRUE
"usb\s?stick",TRUE
"memory\s?card",TRUE
"smart\s?watch",TRUE
"dvd\s?player",TRUE
"blu-?ray",TRUE
"\bprojector\b",TRUE
"sound\s?bar",TRUE
"\bwebcam\b",TRUE
"\bcctv\b",TRUE
"video\s?doorbell",TRUE
"computer\s?keyboard",TRUE
"computer\s?mouse",TRUE
"wireless\s?mouse",TRUE
"e-?reader",TRUE
"\bcalculator\b",TRUE
"\bvacuum\b",FALSE
"\bhoover\b",FALSE
"\bkettle\b",FALSE
"\btoaster\b",FALSE
"\bmicrowave\b",FALSE
"\bfridge\b",FALSE
"\bfreezer\b",FALSE
"washing\s?machine",FALSE
"\bdishwasher\b",FALSE
"tumble\s?dryer",FALSE
"hair\s?dryer",FALSE
"straighteners?",FALSE
"\bblender\b",FALSE
"food\s?processor",FALSE
"slow\s?cooker",FALSE
"air\s?fryer",FALSE
"pressure\s?washer",FALSE
"lawn\s?mower",FALSE
"hedge\s?trimmer",FALSE
"\bstrimmer\b",FALSE
"power\s?drill",FALSE
"cordless\s?drill",FALSE
"\bdrill\b",FALSE
"electric\s?saw",FALSE
"power\s?saw",FALSE
"circular\s?saw",FALSE
"\bsander\b",FALSE
"electric\s?heater",FALSE
"fan\s?heater",FALSE
"\bhumidifier\b",FALSE
"\bdehumidifier\b",FALSE
"air\s?conditioner",FALSE
"extractor\s?fan",FALSE
"\bshaver\b",FALSE
"electric\s?toothbrush",FALSE
"sewing\s?machine",FALSE
"electric\s?fan",FALSE
"desk\s?lamp",FALSE
"\bmixer\b",FALSE
