"alias","canonical","is_plural","quantity_only"
"tv","tv",FALSE,FALSE
"tvs","tv",TRUE,FALSE
"television","tv",FALSE,FALSE
"televisions","tv",TRUE,FALSE
"telly","tv",FALSE,FALSE
"tellies","tv",TRUE,FALSE
"wheelbarrow","wheelbarrow",FALSE,FALSE
"wheelbarrows","wheelbarrow",TRUE,FALSE
"wheel barrow","wheelbarrow",FALSE,FALSE
"wheel barrows","wheelbarrow",TRUE,FALSE
"fridge freezer","fridge freezer",FALSE,FALSE
"fridge freezers","fridge freezer",TRUE,FALSE
"fridge/freezer","fridge freezer",FALSE,FALSE
"fridge/freezers","fridge freezer",TRUE,FALSE
"fridge","fridge",FALSE,FALSE
"fridges","fridge",TRUE,FALSE
"refrigerator","fridge",FALSE,FALSE
"refrigerators","fridge",TRUE,FALSE
"sofa","sofa",FALSE,FALSE
"sofas","sofa",TRUE,FALSE
"couch","sofa",FALSE,FALSE
"couches","sofa",TRUE,FALSE
"settee","sofa",FALSE,FALSE
"settees","sofa",TRUE,FALSE
"pram","pushchair",FALSE,FALSE
"prams","pushchair",TRUE,FALSE
"pushchair","pushchair",FALSE,FALSE
"pushchairs","pushchair",TRUE,FALSE
"buggy","pushchair",FALSE,FALSE
"buggies","pushchair",TRUE,FALSE
"stroller","pushchair",FALSE,FALSE
"strollers","pushchair",TRUE,FALSE
"vacuum cleaner","vacuum cleaner",FALSE,FALSE
"vacuum cleaners","vacuum cleaner",TRUE,FALSE
"vacuum","vacuum cleaner",FALSE,FALSE
"vacuums","vacuum cleaner",TRUE,FALSE
"hoover","vacuum cleaner",FALSE,FALSE
"hoovers","vacuum cleaner",TRUE,FALSE
"wardrobe","wardrobe",FALSE,FALSE
"wardrobes","wardrobe",TRUE,FALSE
"closet","wardrobe",FALSE,FALSE
"closets","wardrobe",TRUE,FALSE
"motorcycle","motorcycle",FALSE,FALSE
"motorcycles","motorcycle",TRUE,FALSE
"motor cycle","motorcycle",FALSE,FALSE
"motor cycles","motorcycle",TRUE,FALSE
"motorbike","motorcycle",FALSE,FALSE
"motorbikes","motorcycle",TRUE,FALSE
"motor bike","motorcycle",FALSE,FALSE
"motor bikes","motorcycle",TRUE,FALSE
"bike","bicycle",FALSE,FALSE
"bikes","bicycle",TRUE,FALSE
"bicycle","bicycle",FALSE,FALSE
"bicycles","bicycle",TRUE,FALSE
"cot","cot",FALSE,FALSE
"cots","cot",TRUE,FALSE
"crib","cot",FALSE,FALSE
"cribs","cot",TRUE,FALSE
