lat,lng,conn
51.518499,-0.097009,96
51.518838,-0.092605,97
51.521743,-0.095400,98
51.513550,-0.076124,97
51.539116,0.088371,87
51.540492,0.076705,90
51.539920,0.070130,85
51.540474,0.083559,90
51.543126,0.080658,88
51.543056,0.073461,85
51.543113,0.146443,83
51.543511,0.139259,81
51.544398,0.155779,81
51.549427,0.152498,81
51.549142,0.146301,82
51.546542,0.151825,81
51.558401,0.120859,83
51.555923,0.124881,82
51.554571,0.116094,81
51.554043,0.121112,80
51.551195,0.120963,80
51.549492,0.117685,80
51.590696,0.141688,69
51.585162,0.129502,67
51.581115,0.134256,73
51.583541,0.137885,73
51.579747,0.143696,80
51.574839,0.133857,81
51.555006,0.163104,78
51.557622,0.172220,76
51.549495,0.162294,82
51.545720,0.166432,82
51.562848,0.180204,75
51.563007,0.173097,79
51.552432,0.178541,68
51.536386,0.097896,85
51.538256,0.116794,79
51.537285,0.106652,81
51.533585,0.100344,81
51.536165,0.090549,86
51.534884,0.111117,79
51.536207,0.120270,79
51.530193,0.086313,84
51.534473,0.086089,89
51.534624,0.082028,90
51.532087,0.093158,83
51.532704,0.143453,81
51.536452,0.132266,81
51.536009,0.125995,81
51.534046,0.136795,79
51.538400,0.127265,83
51.539450,0.135872,80
51.536359,0.142122,81
51.558093,0.156512,81
51.561967,0.158073,85
51.553645,0.151435,80
51.555779,0.145834,83
51.553611,0.156927,80
51.552725,0.144109,82
51.546294,0.105789,78
51.547115,0.100770,82
51.542721,0.088140,86
51.543092,0.100190,85
51.545002,0.092939,86
51.540090,0.100533,84
51.542274,0.111455,80
51.546838,0.114085,79
51.545876,0.121164,78
51.542905,0.127374,82
51.541071,0.120656,79
51.549475,0.125807,81
51.552471,0.132403,82
51.546469,0.137830,79
51.548294,0.131412,79
51.550287,0.138946,80
51.554367,0.137986,82
51.553531,0.128475,82
51.539819,0.145056,83
51.537920,0.150381,85
51.536739,0.146699,84
51.530241,0.150255,83
51.533815,0.155104,81
51.530776,0.160707,74
51.521343,0.154408,76
51.527372,0.108372,75
51.529309,0.102719,78
51.523298,0.115710,72
51.526147,0.135115,74
51.531573,0.116789,76
51.563930,0.128568,83
51.560955,0.127406,84
51.563263,0.133233,82
51.559018,0.138939,82
51.559022,0.144140,84
51.557312,0.133133,82
51.534782,0.164257,77
51.538876,0.168084,79
51.539759,0.153580,85
51.540421,0.159659,81
51.542913,0.176032,72
51.542867,0.167016,81
51.573098,0.145451,79
51.568628,0.144549,80
51.569476,0.137256,83
51.569706,0.133460,84
51.564159,0.148267,81
51.636290,-0.141475,79
51.634001,-0.146126,76
51.633008,-0.156941,75
51.630834,-0.150919,77
51.629999,-0.135997,80
51.632294,-0.141205,80
51.627142,-0.148089,72
51.625703,-0.137285,75
51.623084,-0.144278,75
51.619203,-0.144728,82
51.600946,-0.251477,80
51.606086,-0.260398,83
51.601251,-0.260163,83
51.601773,-0.264389,86
51.604530,-0.254053,81
51.597976,-0.257443,83
51.608829,-0.258563,82
51.607686,-0.252073,81
51.607860,-0.265373,82
51.568220,-0.202328,83
51.566853,-0.190766,83
51.564363,-0.200521,84
51.564266,-0.205478,82
51.559317,-0.201809,86
51.562795,-0.195925,86
51.559870,-0.215460,88
51.562528,-0.210421,85
51.558169,-0.208393,87
51.573915,-0.199233,86
51.572704,-0.205796,85
51.570013,-0.197971,87
51.589812,-0.249254,83
51.585072,-0.243345,79
51.601908,-0.243153,82
51.604808,-0.243069,80
51.604454,-0.247457,79
51.598849,-0.244713,83
51.600581,-0.148736,84
51.603583,-0.144713,82
51.617903,-0.151609,84
51.618583,-0.158448,79
51.612640,-0.144458,83
51.613546,-0.151866,85
51.611994,-0.158498,85
51.607620,-0.145302,78
51.606079,-0.153104,81
51.610144,-0.149831,80
51.653974,-0.159047,73
51.655781,-0.169663,77
51.648767,-0.156353,77
51.650049,-0.164358,79
51.645766,-0.163092,81
51.648480,-0.170518,82
51.641786,-0.150006,73
51.641605,-0.157403,80
51.642052,-0.165795,80
51.637748,-0.159920,78
51.595973,-0.179243,83
51.592603,-0.172553,86
51.595579,-0.165194,86
