msgid,groupid,arrival
100053382,21254,2026-06-22 14:24:06.000000
100053382,253565,2026-06-22 14:24:06.000000
103757585,21560,2026-06-22 14:24:38.000000
104370684,21250,2026-06-22 14:25:26.000000
104370684,21256,2026-06-22 14:25:26.000000
104370684,21347,2026-06-22 14:25:26.000000
104370684,21516,2026-06-22 14:25:26.000000
104370684,126551,2026-06-22 14:25:26.000000
104370684,386145,2026-06-22 14:25:26.000000
104370684,451496,2026-06-22 14:25:26.000000
104370684,522783,2026-06-22 14:25:26.000000
105537593,21256,2026-06-22 14:25:52.000000
105537593,21317,2026-06-22 14:25:52.000000
105537593,21694,2026-06-22 14:25:52.000000
105537593,451496,2026-06-22 14:25:52.000000
106268723,21256,2026-06-22 14:25:56.000000
106268723,21317,2026-06-22 14:25:56.000000
106268723,21694,2026-06-22 14:25:56.000000
106268723,451496,2026-06-22 14:25:56.000000
106767008,21256,2026-06-22 14:26:07.000000
106767008,21317,2026-06-22 14:26:07.000000
106767008,21694,2026-06-22 14:26:07.000000
106767008,451496,2026-06-22 14:26:07.000000
108138116,21256,2026-06-22 14:26:16.000000
108138116,21317,2026-06-22 14:26:16.000000
108138116,21694,2026-06-22 14:26:16.000000
108138116,451496,2026-06-22 14:26:16.000000
108496442,21235,2026-06-22 14:26:22.000000
108496442,21256,2026-06-22 14:26:22.000000
108496442,21317,2026-06-22 14:26:22.000000
108496442,21671,2026-06-22 14:26:22.000000
108496442,21694,2026-06-22 14:26:22.000000
108496442,451496,2026-06-22 14:26:22.000000
108496442,522783,2026-06-22 14:26:22.000000
108774236,21244,2026-06-22 14:26:44.000000
108774236,21349,2026-06-22 14:26:44.000000
108774236,21370,2026-06-22 14:26:44.000000
108774236,21541,2026-06-22 14:26:44.000000
108774236,21592,2026-06-22 14:26:44.000000
108774236,21631,2026-06-22 14:26:44.000000
108774236,28904,2026-06-22 14:26:44.000000
108774236,515852,2026-06-22 14:26:44.000000
108774236,522815,2026-06-22 14:26:44.000000
108774236,522942,2026-06-22 14:26:44.000000
109107386,21560,2026-06-22 14:26:45.000000
109390203,21240,2026-06-22 14:26:50.000000
109390203,21275,2026-06-22 14:26:50.000000
109390203,21296,2026-06-22 14:26:50.000000
109390203,21342,2026-06-22 14:26:50.000000
109390203,21429,2026-06-22 14:26:50.000000
109390203,21453,2026-06-22 14:26:50.000000
109390203,21471,2026-06-22 14:26:50.000000
109390203,21554,2026-06-22 14:26:50.000000
109390203,21707,2026-06-22 14:26:50.000000
109390203,386071,2026-06-22 14:26:50.000000
109390203,522789,2026-06-22 14:26:50.000000
109417179,21323,2026-06-22 14:27:04.000000
109417179,21454,2026-06-22 14:27:04.000000
109417179,21456,2026-06-22 14:27:04.000000
109417179,21504,2026-06-22 14:27:04.000000
109417179,21516,2026-06-22 14:27:04.000000
109417179,21529,2026-06-22 14:27:04.000000
109417179,21590,2026-06-22 14:27:04.000000
109417179,21623,2026-06-22 14:27:04.000000
109417179,21685,2026-06-22 14:27:04.000000
109417179,126551,2026-06-22 14:27:04.000000
109417179,386072,2026-06-22 14:27:04.000000
109417179,386145,2026-06-22 14:27:04.000000
109417179,395398,2026-06-22 14:27:04.000000
109417179,407623,2026-06-22 14:27:04.000000
109417179,435173,2026-06-22 14:27:04.000000
109631772,21283,2026-06-22 14:27:21.000000
109631772,21311,2026-06-22 14:27:21.000000
109631772,21331,2026-06-22 14:27:21.000000
109631772,21406,2026-06-22 14:27:21.000000
109631772,21526,2026-06-22 14:27:21.000000
109631772,21607,2026-06-22 14:27:21.000000
109631772,126626,2026-06-22 14:27:21.000000
109631772,126686,2026-06-22 14:27:21.000000
109631772,126713,2026-06-22 14:27:21.000000
109631772,126719,2026-06-22 14:27:21.000000
109631772,126734,2026-06-22 14:27:21.000000
109631772,253463,2026-06-22 14:27:21.000000
109631772,507537,2026-06-22 14:27:21.000000
109631772,522830,2026-06-22 14:27:21.000000
109631772,522833,2026-06-22 14:27:21.000000
109685199,21350,2026-06-22 14:27:29.000000
109685199,21449,2026-06-22 14:27:29.000000
109685199,21450,2026-06-22 14:27:29.000000
109685199,21454,2026-06-22 14:27:29.000000
109685199,21456,2026-06-22 14:27:29.000000
109685199,21470,2026-06-22 14:27:29.000000
109685199,21486,2026-06-22 14:27:29.000000
109685199,21492,2026-06-22 14:27:29.000000
109685199,21632,2026-06-22 14:27:29.000000
109685199,21662,2026-06-22 14:27:29.000000
109685199,21676,2026-06-22 14:27:29.000000
109685199,21682,2026-06-22 14:27:29.000000
109685199,45523,2026-06-22 14:27:29.000000
109685199,64894,2026-06-22 14:27:29.000000
109685199,126719,2026-06-22 14:27:29.000000
109685199,126734,2026-06-22 14:27:29.000000
109685199,217446,2026-06-22 14:27:29.000000
109685199,253433,2026-06-22 14:27:29.000000
109685199,253463,2026-06-22 14:27:29.000000
109685199,253502,2026-06-22 14:27:29.000000
109685199,253505,2026-06-22 14:27:29.000000
109685199,253508,2026-06-22 14:27:29.000000
109685199,386072,2026-06-22 14:27:29.000000
109685199,395398,2026-06-22 14:27:29.000000
109685199,407623,2026-06-22 14:27:29.000000
109685199,507940,2026-06-22 14:27:29.000000
109685199,515432,2026-06-22 14:27:29.000000
110005720,21256,2026-06-22 14:27:34.000000
110005720,21317,2026-06-22 14:27:34.000000
110005720,21694,2026-06-22 14:27:34.000000
110005720,451496,2026-06-22 14:27:34.000000
110123977,21244,2026-06-22 14:27:40.000000
110123977,21349,2026-06-22 14:27:40.000000
110123977,21370,2026-06-22 14:27:40.000000
110123977,21541,2026-06-22 14:27:40.000000
110123977,21592,2026-06-22 14:27:40.000000
110123977,21631,2026-06-22 14:27:40.000000
110123977,28904,2026-06-22 14:27:40.000000
110123977,515852,2026-06-22 14:27:40.000000
110123977,522815,2026-06-22 14:27:40.000000
110123977,522942,2026-06-22 14:27:40.000000
110483602,21275,2026-06-22 14:27:44.000000
110483602,21296,2026-06-22 14:27:44.000000
110483602,21342,2026-06-22 14:27:44.000000
110483602,21429,2026-06-22 14:27:44.000000
110483602,21453,2026-06-22 14:27:44.000000
110483602,21471,2026-06-22 14:27:44.000000
110483602,21554,2026-06-22 14:27:44.000000
110483602,522789,2026-06-22 14:27:44.000000
110674173,21350,2026-06-22 14:27:53.000000
110674173,21449,2026-06-22 14:27:53.000000
110674173,21450,2026-06-22 14:27:53.000000
110674173,21454,2026-06-22 14:27:53.000000
110674173,21456,2026-06-22 14:27:53.000000
110674173,21470,2026-06-22 14:27:53.000000
